query_uuid,cf_index,sigma,proximity,geometric_instability,intervention_instability,is_pareto_optimal,employment_years,num_open_credit_acc,annual_income,loan_grade,credit_history,purpose,home,addr_state
e2c8c2da-a71d-422c-9c1b-8aeefd6515c4,1,0.03,0.6054974794387817,0.6310446262359619,0.2222222238779068,True,2,14,9600.0,C,46.4,purchase,RENT,FL
e2c8c2da-a71d-422c-9c1b-8aeefd6515c4,2,0.03,2.0246713161468506,0.3104233741760254,0.2666666805744171,True,0,14,31015.4,C,8.9,purchase,MORTGAGE,ID
e2c8c2da-a71d-422c-9c1b-8aeefd6515c4,4,0.03,2.184138059616089,0.8731897473335266,0.06666667014360428,True,8,31,9600.0,C,46.4,purchase,MORTGAGE,ID
c7056030-d9fd-457e-b278-811ade931da6,0,0.03,2.0769495964050293,0.9158867001533508,0.25,True,10,13,9600.0,F,3.1,purchase,RENT,VT
c7056030-d9fd-457e-b278-811ade931da6,2,0.03,2.091080904006958,0.965529203414917,0.24444444477558136,True,10,2,9600.0,F,30.2,purchase,RENT,VT
c7056030-d9fd-457e-b278-811ade931da6,3,0.03,2.060854434967041,1.1256145238876343,0.2666666805744171,True,3,31,9600.0,C,17.9,purchase,MORTGAGE,ID
5c49654a-f2c4-4a25-b1ef-fb962d6d2616,0,0.03,2.4515771865844727,0.600901186466217,0.20000000298023224,True,1,7,9600.0,B,9.5,purchase,MORTGAGE,ID
5c49654a-f2c4-4a25-b1ef-fb962d6d2616,1,0.03,2.0196313858032227,1.5133768320083618,0.13333334028720856,True,0,2,21747.6,C,17.4,debt,OWN,ID
5c49654a-f2c4-4a25-b1ef-fb962d6d2616,2,0.03,1.578126311302185,0.9309614300727844,0.28333333134651184,True,3,7,37077.2,B,46.4,debt,OWN,ID
5c49654a-f2c4-4a25-b1ef-fb962d6d2616,3,0.03,2.1734092235565186,0.8778011202812195,0.13333334028720856,True,10,19,9600.0,C,6.5,debt,OWN,ID
108e2240-8f1c-499c-b4de-6140e55d59e9,0,0.03,2.4610393047332764,0.5753288865089417,0.20000000298023224,True,2,2,16603.5,F,5.3,purchase,RENT,VT
108e2240-8f1c-499c-b4de-6140e55d59e9,3,0.03,2.1949124336242676,1.116744875907898,0.20000000298023224,True,10,12,9600.0,F,28.3,debt,RENT,VA
108e2240-8f1c-499c-b4de-6140e55d59e9,4,0.03,2.3272781372070312,0.5904521346092224,1.999999943436137e-09,True,10,31,9600.0,A,46.4,debt,RENT,VT
01d97165-74f0-4eb9-82ea-98cb41334a86,0,0.03,2.0329861640930176,0.48498690128326416,1.999999943436137e-09,True,10,2,9600.0,A,11.9,purchase,OWN,ID
01d97165-74f0-4eb9-82ea-98cb41334a86,1,0.03,1.4846364259719849,1.4218449592590332,0.0833333358168602,True,10,31,9600.0,A,17.4,purchase,MORTGAGE,UT
01d97165-74f0-4eb9-82ea-98cb41334a86,3,0.03,1.5245521068572998,0.2470637559890747,0.25,True,10,13,9721.0,A,46.4,purchase,MORTGAGE,MS
b277c16b-ba05-4dd9-b0da-0b335508d34b,0,0.03,2.8577468395233154,0.5162158012390137,0.0555555559694767,True,10,2,9600.0,A,5.4,purchase,OWN,UT
b277c16b-ba05-4dd9-b0da-0b335508d34b,1,0.03,1.5865447521209717,0.5533989071846008,0.4222222566604614,True,6,5,9600.0,C,46.4,debt,MORTGAGE,ID
b277c16b-ba05-4dd9-b0da-0b335508d34b,4,0.03,2.1986615657806396,0.8421895503997803,0.17777778208255768,True,10,27,9600.0,A,41.7,debt,MORTGAGE,VA
8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc,2,0.03,2.0636119842529297,0.07079080492258072,0.0833333358168602,True,10,5,9600.0,B,46.4,small_business,MORTGAGE,ID
63e1af52-4281-4e58-b574-13dc45ff60a7,1,0.03,2.530503988265991,1.5629068613052368,0.1984127014875412,True,10,6,9600.0,A,24.0,purchase,OWN,KY
63e1af52-4281-4e58-b574-13dc45ff60a7,2,0.03,1.6538294553756714,1.6492643356323242,0.25,True,10,2,9600.0,A,46.4,debt,MORTGAGE,VA
63e1af52-4281-4e58-b574-13dc45ff60a7,3,0.03,1.587345004081726,1.7144416570663452,0.25,True,10,27,9600.0,A,25.5,debt,MORTGAGE,VA
42a851b6-80fe-42ac-877b-8876260f2c7b,0,0.03,2.544287919998169,1.4735908508300781,0.0555555559694767,True,10,23,9600.0,A,4.1,purchase,OWN,ID
42a851b6-80fe-42ac-877b-8876260f2c7b,1,0.03,2.5001227855682373,0.45666739344596863,0.2888889014720917,True,10,5,9600.0,A,11.4,purchase,OWN,UT
42a851b6-80fe-42ac-877b-8876260f2c7b,2,0.03,2.0799379348754883,0.7343398928642273,0.13333334028720856,True,10,2,9600.0,A,26.2,debt,OWN,VA
3a2595a7-0900-43c5-854a-0ff63d4c9802,2,0.03,2.1933043003082275,0.7015631794929504,0.1666666716337204,True,10,2,9600.0,A,3.1,purchase,RENT,VT
3a2595a7-0900-43c5-854a-0ff63d4c9802,4,0.03,1.8598018884658813,0.20029406249523163,0.25,True,10,8,9600.0,C,46.4,purchase,RENT,VT
e2c8c2da-a71d-422c-9c1b-8aeefd6515c4,1,0.05,0.6054974794387817,1.7362173795700073,0.4444444179534912,True,2,14,9600.0,C,46.4,purchase,RENT,FL
c7056030-d9fd-457e-b278-811ade931da6,0,0.05,2.0769495964050293,0.8712811470031738,0.23333333432674408,True,10,13,9600.0,F,3.1,purchase,RENT,VT
c7056030-d9fd-457e-b278-811ade931da6,3,0.05,2.060854434967041,1.2174309492111206,0.36666667461395264,True,3,31,9600.0,C,17.9,purchase,MORTGAGE,ID
5c49654a-f2c4-4a25-b1ef-fb962d6d2616,2,0.05,1.578126311302185,0.9955308437347412,0.21666665375232697,True,3,7,37077.2,B,46.4,debt,OWN,ID
108e2240-8f1c-499c-b4de-6140e55d59e9,0,0.05,2.4610393047332764,0.11328402161598206,0.24444444477558136,True,2,2,16603.5,F,5.3,purchase,RENT,VT
108e2240-8f1c-499c-b4de-6140e55d59e9,1,0.05,2.5776453018188477,0.114207424223423,0.17777778208255768,True,10,14,12541.8,A,3.1,educational,RENT,VT
