query_uuid,cf_index,sigma,proximity,geometric_instability,intervention_instability,is_pareto_optimal
ba416c3d-d3ca-4873-b9bc-e8d118bc1035,0,0.03,1.4623457193374634,0.010526315309107304,4.999999969612645e-09,True
ba416c3d-d3ca-4873-b9bc-e8d118bc1035,1,0.03,0.3753049075603485,0.17510248720645905,4.999999969612645e-09,False
ba416c3d-d3ca-4873-b9bc-e8d118bc1035,2,0.03,1.423901915550232,0.04132431000471115,0.1111111119389534,True
ba416c3d-d3ca-4873-b9bc-e8d118bc1035,3,0.03,0.263693630695343,0.09011314064264297,0.1666666716337204,True
ba416c3d-d3ca-4873-b9bc-e8d118bc1035,4,0.03,0.36808139085769653,0.06200103461742401,4.999999969612645e-09,True
4e0e5ee2-24df-4a23-88e7-ad715239a48d,0,0.03,1.4223477840423584,0.007017543073743582,4.999999969612645e-09,True
4e0e5ee2-24df-4a23-88e7-ad715239a48d,1,0.03,2.007131338119507,1.1904411315917969,0.5,False
4e0e5ee2-24df-4a23-88e7-ad715239a48d,2,0.03,0.20313961803913116,0.11602592468261719,4.999999969612645e-09,True
4e0e5ee2-24df-4a23-88e7-ad715239a48d,3,0.03,0.2889898717403412,0.02451314963400364,4.999999969612645e-09,True
4e0e5ee2-24df-4a23-88e7-ad715239a48d,4,0.03,0.4395003318786621,0.035186443477869034,9.99999993922529e-09,False
635e1b2a-79ca-41bf-8685-633093cbe929,0,0.03,1.459097146987915,0.005263158585876226,4.999999969612645e-09,True
635e1b2a-79ca-41bf-8685-633093cbe929,1,0.03,1.4504395723342896,0.021839864552021027,0.2222222238779068,False
635e1b2a-79ca-41bf-8685-633093cbe929,2,0.03,1.4245352745056152,0.03678057715296745,4.999999969612645e-09,True
635e1b2a-79ca-41bf-8685-633093cbe929,3,0.03,1.4349651336669922,0.012759126722812653,4.999999969612645e-09,True
635e1b2a-79ca-41bf-8685-633093cbe929,4,0.03,0.36921456456184387,0.0028648432344198227,9.99999993922529e-09,True
ad30b2aa-186f-4ab2-874b-894331761817,0,0.03,0.5986706018447876,0.024885863065719604,0.3888889253139496,True
ad30b2aa-186f-4ab2-874b-894331761817,1,0.03,0.27925145626068115,0.14684726297855377,0.5,True
ad30b2aa-186f-4ab2-874b-894331761817,2,0.03,1.426287293434143,0.12159637361764908,0.4444444477558136,False
ad30b2aa-186f-4ab2-874b-894331761817,3,0.03,0.27973559498786926,0.1354064792394638,0.2222222238779068,True
ad30b2aa-186f-4ab2-874b-894331761817,4,0.03,0.4289473295211792,0.16753824055194855,0.5,False
b6babaf8-c233-4736-ac9c-1aa6e3ab4e58,0,0.03,0.2925502359867096,0.08241330087184906,0.1666666716337204,True
b6babaf8-c233-4736-ac9c-1aa6e3ab4e58,1,0.03,0.5084236860275269,0.059362996369600296,0.5,True
b6babaf8-c233-4736-ac9c-1aa6e3ab4e58,2,0.03,2.004333972930908,0.275208979845047,0.4166666567325592,False
b6babaf8-c233-4736-ac9c-1aa6e3ab4e58,3,0.03,2.038869857788086,0.15218038856983185,0.0833333358168602,True
b6babaf8-c233-4736-ac9c-1aa6e3ab4e58,4,0.03,0.8548427224159241,0.032456137239933014,0.1666666716337204,True
c7fb7f4d-8a6d-433a-83ea-5c502620cc46,0,0.03,1.4230152368545532,0.10497958213090897,0.1111111119389534,True
c7fb7f4d-8a6d-433a-83ea-5c502620cc46,1,0.03,0.1485259234905243,0.126725971698761,0.1666666716337204,True
c7fb7f4d-8a6d-433a-83ea-5c502620cc46,2,0.03,1.438786506652832,0.17020098865032196,3.3333329430007552e-09,True
c7fb7f4d-8a6d-433a-83ea-5c502620cc46,3,0.03,0.3822671175003052,0.1683405190706253,0.3333333432674408,False
c7fb7f4d-8a6d-433a-83ea-5c502620cc46,4,0.03,0.7745556831359863,0.3111686706542969,0.3333333432674408,False
d408e2de-7e69-466d-a83c-597e3639b1ee,0,0.03,0.13166789710521698,0.08398602157831192,9.99999993922529e-09,True
d408e2de-7e69-466d-a83c-597e3639b1ee,1,0.03,1.427098035812378,0.5554706454277039,0.3333333432674408,False
d408e2de-7e69-466d-a83c-597e3639b1ee,2,0.03,0.33498772978782654,0.27864158153533936,0.5,False
d408e2de-7e69-466d-a83c-597e3639b1ee,3,0.03,1.4891433715820312,0.6976099014282227,0.3333333432674408,False
d408e2de-7e69-466d-a83c-597e3639b1ee,4,0.03,0.7285491824150085,0.2690018117427826,0.3333333432674408,False
86390155-8b7f-4f62-8844-f4e4812c5742,0,0.03,2.019258499145508,0.5055715441703796,0.3333333432674408,False
