query_uuid,cf_index,sigma,proximity,geometric_instability,intervention_instability,is_pareto_optimal,age,workclass,education,marital_status,occupation,race,gender,hours_per_week
9211c618-8a8d-4004-a3d8-7bb15567d2b3,3,0.03,2.860657215118408,0.014965628273785114,1.6666666935449825e-09,True,17.014221217464783,Other/Unknown,HS-grad,Widowed,Other/Unknown,White,Male,2.470404612102846
9211c618-8a8d-4004-a3d8-7bb15567d2b3,8,0.03,2.476470947265625,0.07625877112150192,1.999999943436137e-09,True,17.544180207910824,Other/Unknown,HS-grad,Single,White-Collar,White,Male,9.175560719419432
9211c618-8a8d-4004-a3d8-7bb15567d2b3,10,0.03,2.8598010540008545,0.021298617124557495,1.6666666935449825e-09,True,17.00000087993189,Other/Unknown,School,Separated,Service,White,Male,3.112124042997502
9211c618-8a8d-4004-a3d8-7bb15567d2b3,12,0.03,2.4827802181243896,0.015376447699964046,1.999999943436137e-09,True,17.216208883494282,Other/Unknown,School,Separated,Professional,White,Male,4.863929643662042
9211c618-8a8d-4004-a3d8-7bb15567d2b3,13,0.03,3.192978858947754,4.609900133800693e-05,1.4285713723083404e-09,True,17.000055692199297,Other/Unknown,HS-grad,Widowed,Service,Other,Male,1.004618361563973
9211c618-8a8d-4004-a3d8-7bb15567d2b3,20,0.03,3.1929843425750732,1.9152942059008637e-06,1.4285713723083404e-09,True,17.0000201682607,Other/Unknown,HS-grad,Widowed,Service,Other,Male,1.0002612015263797
9211c618-8a8d-4004-a3d8-7bb15567d2b3,25,0.03,3.1929702758789062,0.00011404667020542547,1.4285713723083404e-09,True,17.00012196635202,Other/Unknown,HS-grad,Widowed,Service,Other,Male,1.0112766963898785
9211c618-8a8d-4004-a3d8-7bb15567d2b3,31,0.03,2.4845008850097656,0.015049618668854237,1.999999943436137e-09,True,17.000002929341587,Other/Unknown,School,Separated,Professional,White,Male,3.864113471188798
9211c618-8a8d-4004-a3d8-7bb15567d2b3,32,0.03,2.0309226512908936,0.08252295106649399,2.4999999848063226e-09,True,17.108753097002758,Other/Unknown,School,Single,Professional,White,Male,10.856548047874991
9211c618-8a8d-4004-a3d8-7bb15567d2b3,42,0.03,2.8627166748046875,5.02876036989619e-06,1.6666666935449825e-09,True,17.000116765618554,Other/Unknown,HS-grad,Widowed,Blue-Collar,White,Male,1.0004784058043723
9211c618-8a8d-4004-a3d8-7bb15567d2b3,43,0.03,2.8626809120178223,0.00026189364143647254,1.6666666935449825e-09,True,17.000150613925065,Other/Unknown,HS-grad,Widowed,Blue-Collar,White,Male,1.02567263028906
9211c618-8a8d-4004-a3d8-7bb15567d2b3,47,0.03,3.488288164138794,0.4839549958705902,1.2500001034254637e-09,True,17.001585840950572,Other/Unknown,HS-grad,Widowed,Other/Unknown,Other,Female,4.478286007676537
9211c618-8a8d-4004-a3d8-7bb15567d2b3,52,0.03,2.862717390060425,2.7192820652999217e-06,1.6666666935449825e-09,True,17.000012354466058,Other/Unknown,School,Separated,Service,White,Male,1.0000036229001044
9211c618-8a8d-4004-a3d8-7bb15567d2b3,57,0.03,2.488990306854248,0.0010532105807214975,1.999999943436137e-09,True,17.001874127359045,Other/Unknown,School,Widowed,Professional,White,Male,1.008546860186076
9211c618-8a8d-4004-a3d8-7bb15567d2b3,58,0.03,2.486440420150757,0.011713963001966476,1.999999943436137e-09,True,17.156769495504278,Other/Unknown,School,Widowed,Professional,White,Male,2.499737676971569
9211c618-8a8d-4004-a3d8-7bb15567d2b3,63,0.03,2.852105140686035,0.5274194478988647,1.6666666935449825e-09,True,17.000009802236146,Other/Unknown,HS-grad,Widowed,Service,White,Male,9.364317080814391
9211c618-8a8d-4004-a3d8-7bb15567d2b3,67,0.03,2.853606700897217,0.47445330023765564,1.6666666935449825e-09,True,17.000099559736395,Other/Unknown,School,Single,Service,White,Female,8.049604686906635
9211c618-8a8d-4004-a3d8-7bb15567d2b3,77,0.03,3.1928911209106445,0.0007056462927721441,1.4285713723083404e-09,True,17.05877034677036,Other/Unknown,School,Separated,White-Collar,White,Female,1.0356420558608486
