query_uuid,cf_index,sigma,proximity,geometric_instability,intervention_instability,is_pareto_optimal,sex,age,priors_count,race,c_charge_degree
19a54173-f7f3-4833-8deb-357f319fcb53,0,0.03,1.7566086053848267,1.0512593462408404e-06,3.3333329430007552e-09,True,Female,18.000150362185288,37.9999503775916,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,2,0.03,1.6724529266357422,0.015883564949035645,3.3333329430007552e-09,True,Female,18.000151781478706,31.85926065532027,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,17,0.03,1.756608247756958,3.6850685773970326e-06,3.3333329430007552e-09,True,Female,18.000286412870977,37.99996363268291,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,24,0.03,1.0419563055038452,2.7570247311814455e-06,4.999999969612645e-09,True,Male,18.000243271646866,37.99995790331142,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,30,0.03,1.756605863571167,1.2702096682914998e-05,3.3333329430007552e-09,True,Female,18.000820036159162,37.99992204058694,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,46,0.03,1.7565150260925293,0.00044729781802743673,3.3333329430007552e-09,True,Female,18.02779149004245,37.999987647199816,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,50,0.03,1.7560316324234009,0.0008995754760690033,3.3333329430007552e-09,True,Female,18.00015847598957,37.96038560661482,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,65,0.03,1.0419577360153198,1.305622731706535e-06,4.999999969612645e-09,True,Male,18.000077809539363,37.99997924090849,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,66,0.03,1.7566055059432983,1.8651529899216257e-05,3.3333329430007552e-09,True,Female,18.00121383134483,37.99999431017654,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,70,0.03,1.756608009338379,6.477187071141088e-06,3.3333329430007552e-09,True,Female,18.000456876214756,37.99998892045691,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,81,0.03,1.0377594232559204,0.004441145341843367,4.999999969612645e-09,True,Male,18.55114395336333,37.956711713657945,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,91,0.03,0.982606053352356,0.011738662607967854,4.999999969612645e-09,True,Male,31.3226665409312,37.86493294903359,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,92,0.03,0.965216338634491,0.02081407606601715,4.999999969612645e-09,True,Male,31.3226665409312,37.19546853570977,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,96,0.03,1.70634925365448,0.01021431852132082,3.3333329430007552e-09,True,Female,18.000268652104868,34.43166212084965,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,101,0.03,1.756606101989746,8.5585734268534e-06,3.3333329430007552e-09,True,Female,18.000574937725474,37.99988285845818,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,106,0.03,1.7566088438034058,4.3168563479412114e-07,3.3333329430007552e-09,True,Female,18.000059309777793,37.99994817372093,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,109,0.03,1.041957139968872,1.7704638821669505e-06,4.999999969612645e-09,True,Male,18.000059309777793,37.99994822144325,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,118,0.03,2.2286858558654785,0.0010628438321873546,2.4999999848063226e-09,True,Female,49.54173612402904,37.99998934074541,African-American,F
19a54173-f7f3-4833-8deb-357f319fcb53,119,0.03,2.2278428077697754,0.0016066961688920856,2.4999999848063226e-09,True,Female,49.540360657231055,37.92670877133318,African-American,F
19a54173-f7f3-4833-8deb-357f319fcb53,123,0.03,1.7566078901290894,7.309848570002941e-06,3.3333329430007552e-09,True,Female,18.000508508091006,37.99999075684688,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,124,0.03,1.756523609161377,0.00015141080075409263,3.3333329430007552e-09,True,Female,18.000508508091006,37.99421145846128,Caucasian,F
19a54173-f7f3-4833-8deb-357f319fcb53,127,0.03,2.2138566970825195,0.01950031705200672,2.4999999848063226e-09,True,Female,33.617881228634765,36.78835256492053,African-American,F
19a54173-f7f3-4833-8deb-357f319fcb53,131,0.03,1.6890636682510376,0.011976887471973896,3.3333329430007552e-09,True,Female,18.00042360560666,33.13919999760553,Caucasian,F
