query_uuid,cf_index,sigma,proximity,geometric_instability,intervention_instability,is_pareto_optimal,sex,age,priors_count,race,c_charge_degree
7f653813-5f28-4aed-8868-63211273450b,2,0.03,1.4151833057403564,0.015231776982545853,0.1666666716337204,True,Female,41.0,2.990511657425164,Caucasian,F
7f653813-5f28-4aed-8868-63211273450b,7,0.03,1.4165984392166138,0.02659383974969387,4.999999969612645e-09,True,Male,41.0,4.122287787523796,African-American,F
7f653813-5f28-4aed-8868-63211273450b,24,0.03,0.10652285814285278,0.03735080733895302,9.99999993922529e-09,True,Male,41.0,5.047868957795754,Caucasian,F
7f653813-5f28-4aed-8868-63211273450b,30,0.03,0.10636341571807861,0.03735968470573425,9.99999993922529e-09,True,Male,41.0,5.041810045303453,Caucasian,F
7f653813-5f28-4aed-8868-63211273450b,49,0.03,1.4165252447128296,0.02677229791879654,4.999999969612645e-09,True,Male,41.0,4.073966169511735,African-American,F
7f653813-5f28-4aed-8868-63211273450b,50,0.03,1.416544795036316,0.026716208085417747,4.999999969612645e-09,True,Male,41.0,4.086950266164825,African-American,F
7f653813-5f28-4aed-8868-63211273450b,67,0.03,1.41663658618927,0.026533974334597588,4.999999969612645e-09,True,Male,41.0,4.14722833899658,African-American,F
7f653813-5f28-4aed-8868-63211273450b,69,0.03,1.4166382551193237,0.025741174817085266,4.999999969612645e-09,True,Male,40.86507511791349,4.14722833899658,African-American,F
7f653813-5f28-4aed-8868-63211273450b,70,0.03,1.416641116142273,0.02525557577610016,4.999999969612645e-09,True,Male,40.78091582000886,4.14722833899658,African-American,F
7f653813-5f28-4aed-8868-63211273450b,84,0.03,1.4151651859283447,0.015289152972400188,0.1666666716337204,True,Female,41.0,2.971777693967869,Caucasian,F
7f653813-5f28-4aed-8868-63211273450b,88,0.03,1.416556715965271,0.026685262098908424,4.999999969612645e-09,True,Male,41.0,4.094783115374714,African-American,F
7f653813-5f28-4aed-8868-63211273450b,98,0.03,1.4165911674499512,0.02660784125328064,4.999999969612645e-09,True,Male,41.0,4.117496757625859,African-American,F
7f653813-5f28-4aed-8868-63211273450b,101,0.03,1.4151414632797241,0.015470284037292004,0.1666666716337204,True,Female,41.0,2.94715807422565,Caucasian,F
7f653813-5f28-4aed-8868-63211273450b,102,0.03,1.416529893875122,0.026758262887597084,4.999999969612645e-09,True,Male,41.0,4.077089047642896,African-American,F
7f653813-5f28-4aed-8868-63211273450b,107,0.03,0.10658678412437439,0.03734751418232918,9.99999993922529e-09,True,Male,41.0,5.050297954363145,Caucasian,F
7f653813-5f28-4aed-8868-63211273450b,128,0.03,1.4165781736373901,0.026634588837623596,4.999999969612645e-09,True,Male,41.0,4.109022378368051,African-American,F
f1f8fba7-8b0a-466e-8999-e24d7078b2fe,1,0.03,1.41421377658844,0.03443988040089607,9.99999993922529e-09,True,Female,27.0,0.0235548156878102,Caucasian,F
