query_uuid,cf_index,sigma,proximity,geometric_instability,intervention_instability,is_pareto_optimal,age,workclass,education,marital_status,occupation,race,gender,hours_per_week
35e00925-df3b-4a8c-9b7a-2a7a4f01d46f,22,0.03,1.4142135381698608,0.49768757820129395,9.99999993922529e-09,True,31.0,Self-Employed,Doctorate,Single,Other/Unknown,White,Male,40.0
c3a951e7-8f4c-4428-85ff-2950668db303,9,0.03,2.4494898319244385,0.022233041003346443,3.3333329430007552e-09,True,20.0,Other/Unknown,Masters,Married,Other/Unknown,White,Female,40.0
c3a951e7-8f4c-4428-85ff-2950668db303,13,0.03,2.8284270763397217,0.02636493556201458,2.4999999848063226e-09,True,20.0,Self-Employed,Doctorate,Married,Other/Unknown,White,Female,40.0
c3a951e7-8f4c-4428-85ff-2950668db303,42,0.03,2.4495747089385986,0.017093496397137642,0.1666666716337204,True,20.0,Other/Unknown,Masters,Married,Other/Unknown,White,Female,42.0
c3a951e7-8f4c-4428-85ff-2950668db303,49,0.03,3.1623072624206543,0.5027410984039307,1.999999943436137e-09,True,21.0,Self-Employed,Doctorate,Married,White-Collar,White,Female,40.0
127a9135-a780-4cbc-874d-963203e18783,0,0.03,1.4142135381698608,0.49713006615638733,9.99999993922529e-09,True,78.0,Self-Employed,Bachelors,Separated,White-Collar,White,Male,45.0
127a9135-a780-4cbc-874d-963203e18783,2,0.03,1.4142135381698608,0.49713006615638733,9.99999993922529e-09,True,78.0,Self-Employed,Bachelors,Divorced,White-Collar,White,Male,45.0
41028f4d-a8e3-4f91-98d9-8a4e6e41ae57,3,0.03,1.4142135381698608,1.1421047449111938,9.99999993922529e-09,True,32.0,Private,Masters,Married,Blue-Collar,White,Male,44.0
41028f4d-a8e3-4f91-98d9-8a4e6e41ae57,4,0.03,1.4142135381698608,0.9468690752983093,0.3333333432674408,True,32.0,Private,Bachelors,Married,Professional,White,Male,44.0
41028f4d-a8e3-4f91-98d9-8a4e6e41ae57,13,0.03,1.4142135381698608,0.9468690752983093,0.3333333432674408,True,32.0,Private,Bachelors,Married,White-Collar,White,Male,44.0
