sex,age,priors_count,race,c_charge_degree,query_id
Male,21.902972066026084,-0.4382132264110919,Caucasian,F,3eff64b9-619f-4cb6-be8e-5a0b67599fec
Male,22.074588340576454,-0.3724090880956667,Caucasian,F,3eff64b9-619f-4cb6-be8e-5a0b67599fec
Male,21.947206731655793,-0.4159566611254607,Caucasian,F,3eff64b9-619f-4cb6-be8e-5a0b67599fec
Male,21.974791640577436,-0.4106655536607911,Caucasian,F,3eff64b9-619f-4cb6-be8e-5a0b67599fec
Male,22.00186034944259,-0.3976635030907461,Caucasian,F,3eff64b9-619f-4cb6-be8e-5a0b67599fec
Male,21.95849682610266,-0.4109327045471634,Caucasian,F,3eff64b9-619f-4cb6-be8e-5a0b67599fec
Male,21.902972066026084,-0.4382132264110919,Caucasian,F,80fd1189-3a29-45db-8628-f2d42822f8d7
Male,22.074588340576454,-0.3724090880956667,Caucasian,F,80fd1189-3a29-45db-8628-f2d42822f8d7
Male,21.947206731655793,-0.4159566611254607,Caucasian,F,80fd1189-3a29-45db-8628-f2d42822f8d7
Male,21.974791640577436,-0.4106655536607911,Caucasian,F,80fd1189-3a29-45db-8628-f2d42822f8d7
Male,22.00186034944259,-0.3976635030907461,Caucasian,F,80fd1189-3a29-45db-8628-f2d42822f8d7
Male,21.95849682610266,-0.4109327045471634,Caucasian,F,80fd1189-3a29-45db-8628-f2d42822f8d7
Male,21.902972066026084,-0.4382132264110919,Caucasian,F,e5ce9c90-dd91-4846-bf22-72b604fbebfb
Male,22.074588340576454,-0.3724090880956667,Caucasian,F,e5ce9c90-dd91-4846-bf22-72b604fbebfb
Male,21.947206731655793,-0.4159566611254607,Caucasian,F,e5ce9c90-dd91-4846-bf22-72b604fbebfb
Male,21.974791640577436,-0.4106655536607911,Caucasian,F,e5ce9c90-dd91-4846-bf22-72b604fbebfb
Male,22.00186034944259,-0.3976635030907461,Caucasian,F,e5ce9c90-dd91-4846-bf22-72b604fbebfb
Male,21.95849682610266,-0.4109327045471634,Caucasian,F,e5ce9c90-dd91-4846-bf22-72b604fbebfb
Male,21.902972066026084,-0.43821322641109195,Caucasian,F,456b30fd-c8ca-4668-bb7e-259b3fe2d814
Male,22.074588340576454,-0.37240908809566675,Caucasian,F,456b30fd-c8ca-4668-bb7e-259b3fe2d814
Male,21.947206731655793,-0.4159566611254607,Caucasian,F,456b30fd-c8ca-4668-bb7e-259b3fe2d814
Male,21.974791640577436,-0.41066555366079116,Caucasian,F,456b30fd-c8ca-4668-bb7e-259b3fe2d814
Male,22.00186034944259,-0.3976635030907461,Caucasian,F,456b30fd-c8ca-4668-bb7e-259b3fe2d814
Male,21.95849682610266,-0.41093270454716346,Caucasian,F,456b30fd-c8ca-4668-bb7e-259b3fe2d814
