age,priors_count,c_charge_degree,race,sex,query_id
37.081875,0.6374284,F,Caucasian,Male,c528ee02-f4f8-435f-8829-afb9381dab99
38.26383,0.0,F,Caucasian,Male,c528ee02-f4f8-435f-8829-afb9381dab99
23.44568,2.9662507,F,Caucasian,Male,3eff64b9-619f-4cb6-be8e-5a0b67599fec
21.816751,0.0,F,Caucasian,Male,3eff64b9-619f-4cb6-be8e-5a0b67599fec
37.081875,0.6374284,F,Caucasian,Male,fef98939-3a49-4cf2-bd2a-2694088cea1e
38.26383,0.0,F,Caucasian,Male,fef98939-3a49-4cf2-bd2a-2694088cea1e
23.44568,2.9662507,F,Caucasian,Male,80fd1189-3a29-45db-8628-f2d42822f8d7
21.816751,0.0,F,Caucasian,Male,80fd1189-3a29-45db-8628-f2d42822f8d7
37.081875,0.6374284,F,Caucasian,Male,11e76da9-a69a-43c7-8929-c209b8b0f7e2
38.26383,0.0,F,Caucasian,Male,11e76da9-a69a-43c7-8929-c209b8b0f7e2
23.44568,2.9662507,F,Caucasian,Male,e5ce9c90-dd91-4846-bf22-72b604fbebfb
21.816751,0.0,F,Caucasian,Male,e5ce9c90-dd91-4846-bf22-72b604fbebfb
37.081875,0.6374284,F,Caucasian,Male,31facc12-8d2f-4742-866c-e4b67218951c
38.26383,0.0,F,Caucasian,Male,31facc12-8d2f-4742-866c-e4b67218951c
23.44568,2.9662507,F,Caucasian,Male,456b30fd-c8ca-4668-bb7e-259b3fe2d814
21.816751,0.0,F,Caucasian,Male,456b30fd-c8ca-4668-bb7e-259b3fe2d814
