age,workclass,education,marital_status,occupation,race,gender,hours_per_week,query_id
17.084438279267683,Other/Unknown,School,Widowed,Service,Other,Female,1.285756332421344,c9e90a56-e571-4011-9664-b9bbfb1b9524
17.279675864778664,Other/Unknown,School,Widowed,Service,Other,Female,1.285756332421344,c9e90a56-e571-4011-9664-b9bbfb1b9524
17.849605940365965,Other/Unknown,HS-grad,Single,Other/Unknown,White,Male,7.791415386790983,c9e90a56-e571-4011-9664-b9bbfb1b9524
17.849605940365965,Other/Unknown,HS-grad,Single,Other/Unknown,White,Male,14.710491493771077,c9e90a56-e571-4011-9664-b9bbfb1b9524
17.850358708245956,Other/Unknown,HS-grad,Single,Professional,White,Male,8.523859414588681,c9e90a56-e571-4011-9664-b9bbfb1b9524
66.00480481004912,Government,Masters,Widowed,Sales,White,Male,98.98684786137552,015f7468-2669-4879-8b19-7c37039af961
57.97696114395406,Government,Prof-school,Widowed,Sales,White,Male,98.47263144542144,015f7468-2669-4879-8b19-7c37039af961
60.80706996763309,Private,Masters,Widowed,White-Collar,White,Male,98.89692539101118,015f7468-2669-4879-8b19-7c37039af961
60.20791938608759,Private,Masters,Widowed,White-Collar,White,Male,95.28957610380763,015f7468-2669-4879-8b19-7c37039af961
17.000008787953988,Other/Unknown,HS-grad,Separated,Blue-Collar,Other,Male,1.000005607422805,9bac9be9-adbc-4417-85b8-340dc23d59e5
17.000004862174787,Other/Unknown,HS-grad,Widowed,Blue-Collar,Other,Male,1.3144370459071089,9bac9be9-adbc-4417-85b8-340dc23d59e5
17.000003509071366,Other/Unknown,HS-grad,Widowed,Other/Unknown,Other,Female,3.28681691280278,9bac9be9-adbc-4417-85b8-340dc23d59e5
17.000660215980563,Other/Unknown,School,Separated,Sales,White,Female,1.0217340717630103,9bac9be9-adbc-4417-85b8-340dc23d59e5
17.000258667603735,Other/Unknown,School,Separated,Sales,White,Female,2.8548885617279147,9bac9be9-adbc-4417-85b8-340dc23d59e5
45.01791030570729,Private,Masters,Widowed,White-Collar,White,Male,98.69312668679513,005af0d8-4450-40b2-93cc-a0e23784ccc5
50.306159738685615,Private,Masters,Widowed,Other/Unknown,White,Male,98.9772196950762,005af0d8-4450-40b2-93cc-a0e23784ccc5
41.13755167219848,Self-Employed,Prof-school,Married,Professional,White,Male,98.99985148299618,005af0d8-4450-40b2-93cc-a0e23784ccc5
48.98442429707275,Self-Employed,Prof-school,Married,Professional,White,Male,98.99985366776646,005af0d8-4450-40b2-93cc-a0e23784ccc5
89.9855769690828,Private,Prof-school,Married,Professional,White,Female,98.99999556062691,005af0d8-4450-40b2-93cc-a0e23784ccc5
17.001815549315925,Other/Unknown,HS-grad,Widowed,Blue-Collar,Other,Female,1.0002086449216685,8c9b517c-181e-4ee4-abf0-852fdfed5b8b
17.000000390026884,Other/Unknown,HS-grad,Separated,Other/Unknown,White,Male,1.0000037729537012,8c9b517c-181e-4ee4-abf0-852fdfed5b8b
17.000000717742257,Other/Unknown,School,Separated,White-Collar,White,Female,1.000057404469077,8c9b517c-181e-4ee4-abf0-852fdfed5b8b
89.99999954882097,Private,Prof-school,Married,Professional,White,Male,98.9999757727186,5bfcacfe-080e-491b-9d81-070ec3ecf1c2
89.99999973970026,Private,Prof-school,Married,Professional,White,Male,98.9999757727186,5bfcacfe-080e-491b-9d81-070ec3ecf1c2
41.05962422800444,Self-Employed,Prof-school,Married,Professional,White,Male,98.99694416787496,5bfcacfe-080e-491b-9d81-070ec3ecf1c2
50.17907639628596,Self-Employed,Prof-school,Married,Professional,White,Male,98.99859489994095,5bfcacfe-080e-491b-9d81-070ec3ecf1c2
89.99998966906904,Private,Prof-school,Married,Professional,White,Male,98.99963304121458,5bfcacfe-080e-491b-9d81-070ec3ecf1c2
89.99998991029709,Private,Prof-school,Married,Professional,White,Male,98.99963304121458,5bfcacfe-080e-491b-9d81-070ec3ecf1c2
17.00009335050969,Other/Unknown,School,Separated,White-Collar,Other,Female,1.0002005180516436,57e922f0-05b9-4728-ba69-b7af3d2d4695
17.00000129353115,Other/Unknown,HS-grad,Widowed,Blue-Collar,White,Female,1.0000014242639468,57e922f0-05b9-4728-ba69-b7af3d2d4695
17.000157404424545,Other/Unknown,School,Widowed,Other/Unknown,White,Male,1.00000869707092,57e922f0-05b9-4728-ba69-b7af3d2d4695
45.22188210854281,Private,Doctorate,Widowed,White-Collar,White,Male,98.99983413022076,ea57e236-ddbc-4c75-a09d-ec818728e01d
44.728778969293835,Private,Masters,Widowed,White-Collar,White,Male,98.99996861665149,ea57e236-ddbc-4c75-a09d-ec818728e01d
44.728778969293835,Private,Masters,Widowed,White-Collar,White,Male,98.99669502884556,ea57e236-ddbc-4c75-a09d-ec818728e01d
64.10693798560573,Government,Prof-school,Married,Professional,White,Male,98.99984152583882,ea57e236-ddbc-4c75-a09d-ec818728e01d
66.18384856617263,Government,Prof-school,Married,Professional,White,Male,87.20803141765933,ea57e236-ddbc-4c75-a09d-ec818728e01d
17.00000050737019,Other/Unknown,School,Separated,White-Collar,White,Female,1.0000011607552686,5bab4ba4-f360-48e7-969d-dc1d2a73845f
17.000001174406894,Other/Unknown,HS-grad,Divorced,Blue-Collar,Other,Female,1.0000550179420926,5bab4ba4-f360-48e7-969d-dc1d2a73845f
17.000001174406894,Other/Unknown,HS-grad,Divorced,Blue-Collar,Other,Female,1.0000579878836826,5bab4ba4-f360-48e7-969d-dc1d2a73845f
17.000003978650113,Other/Unknown,HS-grad,Widowed,Service,Other,Male,1.0001112114205977,5bab4ba4-f360-48e7-969d-dc1d2a73845f
58.40823574813606,Private,Masters,Divorced,White-Collar,White,Male,98.99993600142612,2ac0f02d-d809-4eb6-a497-83105bcb8084
46.126585049114794,Private,Masters,Widowed,White-Collar,White,Male,98.99294568845916,2ac0f02d-d809-4eb6-a497-83105bcb8084
32.90380476766662,Private,Doctorate,Widowed,White-Collar,White,Male,98.85437477853112,2ac0f02d-d809-4eb6-a497-83105bcb8084
62.863100991870155,Private,Doctorate,Widowed,Sales,White,Male,98.99999679344063,2ac0f02d-d809-4eb6-a497-83105bcb8084
63.01951973139926,Private,Bachelors,Widowed,Sales,White,Male,98.99999679344063,2ac0f02d-d809-4eb6-a497-83105bcb8084
