limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,query_id
23726.00129111582,Male,University,Single,45.10604307435105,7.9053315021827535,-1.5725589136991442,-0.8577754614079928,-0.9510555565315408,1.9052132081031223,7.971529729872676,640342.7158253189,976471.6051528262,222878.53376450425,2908.5297938952135,22151.486846222186,-256123.54432946065,26059.79349856123,994.3873748011964,375649.2318007688,611977.167525357,36984.78272724475,2841.21633617202,25c60173-1484-40ab-bc1b-7e2e911a7106
23994.34760703727,Male,University,Single,45.106274007433775,7.9053315021827535,-1.5725589136991442,-0.8577112501255575,-0.9510555565315408,2.626079037251445,7.973208637296988,640504.1252714207,976471.6051528262,222878.53376450425,76381.87207786998,22151.486846222186,-206756.00331822544,26059.79349856123,994.3873748011964,342840.9441629599,611977.167525357,36984.78272724475,2841.21633617202,25c60173-1484-40ab-bc1b-7e2e911a7106
21912.339113601905,Male,University,Married,47.13138389112627,7.997457749571648,-1.466136003995569,-1.2071916034458003,-1.0036236541333472,6.85784788241597,3.505636545720287,923137.5370662624,86770.85848981171,814251.1724983718,326291.24865454406,223387.59743195272,23633.32611029516,39562.36403726242,4381.440637116563,893746.0128401761,250480.58423818063,279881.8526934257,1944.6841763860623,25c60173-1484-40ab-bc1b-7e2e911a7106
21912.339113601905,Male,University,Married,44.22272794642206,7.997457749571648,-1.466136003995569,-1.2071916034458003,-1.0036236541333472,6.85784788241597,3.505636545720287,923137.5370662624,86770.85848981171,814251.1724983718,326291.24865454406,223387.59743195272,23633.32611029516,39562.36403726242,4381.440637116563,893746.0128401761,250480.58423818063,279881.8526934257,1944.6841763860623,25c60173-1484-40ab-bc1b-7e2e911a7106
50910.66976133956,Female,University,Married,46.44342548166807,7.971490520927137,-1.8703779227896824,-0.5725905099162911,-1.2533565949764844,3.118229157492986,7.872563420435608,586558.0387841468,270668.8390957693,379396.6511035928,717288.1580265758,10313.45845323424,-258294.77158098647,25332.812540872696,36895.48992840981,510813.6193800157,617181.5751772395,7024.532207142613,2850.5632419491203,25c60173-1484-40ab-bc1b-7e2e911a7106
50910.66976133956,Male,University,Single,46.44342548166807,7.971490520927137,-1.8559849409696012,-0.940676029567342,-1.271465000050194,3.118229157492986,7.872563420435608,641120.3946390683,270668.8390957693,379396.6511035928,717288.1580265758,3361.1426450446133,-297582.69563642197,25332.812540872696,36895.48992840981,507897.21311199985,617181.5751772395,7024.532207142613,2850.5632419491203,25c60173-1484-40ab-bc1b-7e2e911a7106
52720.31385418717,Male,Graduate,Married,30.365809027086357,7.967831760790148,-1.9860819316714182,-1.7016631808347533,-1.7914114768626384,7.220830094366817,5.5894805949529065,923895.4134771714,249390.0294703333,847921.6694701128,100758.66481915282,-16685.78993949761,-261740.69442718697,33855.164440223714,104.72113146563282,190407.3844602494,264899.8199841463,116397.27851551384,8884.268253835042,49365f4b-c41c-4be6-b43d-1133c752e71a
50454.14464046331,Male,Graduate,Single,30.38320964443828,7.967829996255585,-1.9862653515831707,-1.4421603527613747,-1.7914114768626384,7.221791775256178,5.589686309702253,923895.4134771714,197517.94228789496,847921.6694701128,144597.72108832063,66783.096175638,-293274.2478842109,3295.299131259748,2538.3119332981537,194278.83109661515,264896.849769568,123053.9426419902,8271.627432260775,49365f4b-c41c-4be6-b43d-1133c752e71a
91884.95540779133,Male,Graduate,Married,63.78582002788083,7.898248856226692,-1.944024067222124,-1.981027965786954,-1.9885570243143864,-1.9999848135521165,7.918161252499388,587230.5553633857,879797.867840782,122248.227736286,-16002.671770091234,-4.386501898731517,-178130.79443029183,2249.821455141253,18.183861351508114,67716.5879933981,603150.2896404845,253011.71925257155,26741.095370613944,49365f4b-c41c-4be6-b43d-1133c752e71a
91884.95540779133,Male,Graduate,Married,63.78582002788083,7.898248856226692,-1.944024067222124,-1.981027965786954,-1.2191503072861478,-1.9999848135521165,7.918161252499388,587230.5553633857,879797.867840782,122028.6171011707,586.9754078774131,-4.386501898731517,-178130.79443029183,2465.9442637759735,17.637221634780275,67716.5879933981,603154.8752918809,263366.0718229727,26741.095370613944,49365f4b-c41c-4be6-b43d-1133c752e71a
150008.20718791636,Male,Graduate,Married,30.73135692667321,7.9587025162454035,-1.166201978991132,0.9925454749192577,-1.982711766996067,-1.2187516988339968,7.795747125300714,960830.7095712575,972666.198343282,5275.496191614504,784011.7242469299,63170.372694893296,11617.884002867975,863.6942042064645,8943.393660840013,420294.71525887237,614422.4004931564,16189.855790331074,33786.53241358081,49365f4b-c41c-4be6-b43d-1133c752e71a
152210.7043609574,Male,Graduate,Married,34.778675490590196,7.958703237441202,-0.9088878221963073,1.542574354208971,-1.9823718053252002,-1.2216845597759918,6.608290935308157,917197.8717214805,971736.3900284721,93072.24115340061,787670.7225936307,47431.13196127667,11804.296406053269,3129.1071007158453,25196.59703954278,474327.1273359577,614433.2414644719,6027.826331013965,2045.9794524573717,49365f4b-c41c-4be6-b43d-1133c752e71a
